user_id,retweeted_user_id,user_verified,user_followers_count,favorite_count,user_favourites_count,user_friends_count,text,is_retweet,retweet_count,id_str
116837907,-1,False,4,766,486,0,b'UK PM Boris Johnson described the variant as up to 70% \xe2\x80\x9cmore transmissible\xe2\x80\x9d and other UK authorities describe as \xe2\x80\x9co\xe2\x80\xa6 https://t.co/M1qSTs9PdX',False,0,1340885535498362883
160230699,-1,False,170,3777,3847,0,"b""Top story: @SF_emergency: 'New smart phone tools let you know when you\xe2\x80\x99ve been exposed to #COVID19 and how to isola\xe2\x80\xa6 https://t.co/ZZzz2yAqCQ""",False,0,1340885540678328323
744252001572233216,-1,False,582452,56193,6145,36,b'Republicans who called COVID-19 a hoax and mocked mask wearing should not go to the end of line for the vaccine. Th\xe2\x80\xa6 https://t.co/ZfQ3radD2K',False,12,1340885532084211714
1211754137995530240,358545917,False,111800,331,1013,0,"b'RT @Cernovich: $900,000,000,000 (size of coronavirus stimulus)\n\ndivided by \n\n330,000,000 (\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 population) \n\nequals \n\n$2,700 per person. That\xe2\x80\xa6'",True,3627,1340885516586246144
291947329,16927893,False,111964,1284,2326,0,b'RT @RobertCStern: What the hell is the use of having a vaccine for #COVID19 if you don\xe2\x80\x99t ship  it places to give the shots.  C\xe2\x80\x99mon #Congres\xe2\x80\xa6',True,7,1340885523456425987
1134653881454080000,1131465805097447424,False,8774,74,90,0,b'RT @Gwadar_Pro: Pakistan\xe2\x80\x99s textile production and exports have largely recovered from the COVID-19 pandemic shock and are back on growth tr\xe2\x80\xa6',True,41,1340885539621396480
223542622,976849451984867328,False,30100,5283,2954,0,"b'RT @vincentdesmond_: Coronavirus said \xe2\x80\x98new year, new me.\xe2\x80\x99'",True,1831,1340885537029304323
485497413,956985015673303040,False,176197,12015,5022,0,"b""RT @lucaDiGiorgio9: So in reality the covid-19 app hasn't made any difference to the current situation in Sydney !\nWhat a total waste of Fe\xe2\x80\xa6""",True,2,1340885518188343296
401598422,20583993,False,5462,88,476,0,b'RT @TheNationalNews: Saudi suspends international Umrah over new Covid-19 variant https://t.co/cRCkXplHeU',True,7,1340885513268551680
369342347,-1,False,4638,155,717,0,b'Here we go. https://t.co/YBGL9nvCPE',False,0,1340885534541926402
980848637453447173,2921790230,False,82222,177,124,0,b'RT @angrynbitter77: Fuck you.\n#CocaineMitchHatesAmerica\n#AmericaHatesCocaineMitch',True,1,1340885532608479233
2274450917,-1,False,4136,4944,5426,0,"b'@MorningLiveSABC @SakinaKamwendo @LeanneManas I always being careful Since its Started from March this Year 2020,An\xe2\x80\xa6 https://t.co/RkM2ogCPAp'",False,0,1340885531392094210
1246016557714735105,553581707,False,6632,559,878,0,b'RT @DrOlufunmilayo: ATTENTION:\nThere\xe2\x80\x99s a new mutated coronavirus that is just reported in London UK. It is described \xe2\x80\x9cout of control\xe2\x80\x9d and \xe2\x80\x9c\xe2\x80\xa6',True,10863,1340885528258949121
6529922,-1,False,133699,31491,4204,9,b'\xe2\x80\x9cOh they\xe2\x80\x99re white people? C\xe2\x80\x99mon in.\xe2\x80\x9d https://t.co/qesdJUPeIo',False,1,1340885540783218690
1238835715875557379,1235970884113850368,False,11913,11,31,0,"b'RT @AllAbtOhmFluke: FYI, the Covid-19 situation in Thailand is worse due to found out new more than 500 cases in a province \xf0\x9f\x98\x96'",True,18,1340885528124694528
1311631033507475457,792096589191852033,False,47493,1481,1556,0,b'RT @themarketswork: $900 Billion deal that gives $600 checks (&gt;$200 Billion)\n\n$300/week in unemployment benefits\n\n$284 billion small busine\xe2\x80\xa6',True,806,1340885516452048898
1639701578,-1,False,4675,234,137,0,b'STOP COVID19 \n#PulisAtKomunidad\n#SerbisyongMayPusoAtDedikasyon\n#LetsVoltIn\n#TeamCALABARZON\n#TeamRizal\n#KuyaOtep\xe2\x80\xa6 https://t.co/NglkQ5y1em',False,0,1340885512433778692
257019790,15495464,False,88140,1437,1168,0,b'RT @bergopolis: \xe2\x80\x9cLos Angeles is now the epicenter of the Covid-19 pandemic. It is the most infected county of the most infected state in th\xe2\x80\xa6',True,668,1340885542846619648
1287751867,32871086,False,95627,151,766,0,"b""RT @kylegriffin1: Why are Republicans who've downplayed the seriousness of the coronavirus or who've stood by as their colleagues downplaye\xe2\x80\xa6""",True,6705,1340885523360047104
726483853607493633,71150575,False,16796,165,170,0,"b'RT @aptly_engineerd: Incarcerated people should be a priority for COVID-19 vaccination, pass it on.'",True,18827,1340885526312857600
277609784,1145279035007754241,False,57233,3387,3458,0,b'RT @davidjdaley012: Beyond Exceptional: The Etonian English Imperialism at the Heart of a Deadly COVID-19 Crisis \xe2\x80\x93 Byline Times https://t.c\xe2\x80\xa6',True,13,1340885523192229890
2310919691,14085040,False,17382,64,210,0,"b'RT @MiamiHerald: The day after Thanksgiving, Deborah Birx, coordinator of the White House coronavirus response, traveled to one of her vaca\xe2\x80\xa6'",True,324,1340885536899280902
1309608304805474309,87818409,False,193,11,40,0,b'RT @guardian: Sydney Test in doubt as Covid-19 outbreak wreaks havoc on Australian sport https://t.co/IQ9KKX2KIm',True,10,1340885512253362178
3567713655,-1,False,3056,867,1221,5,b'Want to know how #SystemDynamics #SystemsThinking practitioners model complex problems like #COVID19?\n\nCheck out th\xe2\x80\xa6 https://t.co/oxYuclUni2',False,1,1340885535708110848
2919647173,180659655,False,31519,67,395,0,b'RT @Fayzth: P\xe2\x80\x99News: Stand by for updates everyone. No one wants Covid-19 to occurred but we need to be careful &amp; adapted to it. Within this\xe2\x80\xa6',True,59,1340885514342211590
973655493423128577,-1,False,1,34,8,0,b'VIDEO: Mayor Kirk Caldwell wants to remove inmates from Honolulu\xe2\x80\x99s COVID-19\xc2\xa0count https://t.co/qeTcmz6XKZ',False,0,1340885531236962309
147344582,18831926,False,28819,338,543,0,b'RT @DrEricDing: Who did this? It\xe2\x80\x99s brilliant!\n\nThe coronavirus vaccine won\xe2\x80\x99t leave a scar. But it\xe2\x80\x99ll protect us and our next generation. #C\xe2\x80\xa6',True,6055,1340885521514434561
120484360,11744152,False,106184,501,880,0,"b'RT @yashar: ""Direct payments to help Americans make it through a dark winter."" \n\n$600 will do no such thing. https://t.co/Lha1CaewPD'",True,209,1340885517483855872
709794889,4170889399,False,8721,118,743,0,b'RT @DeniseInCanada: No lockdowns in China.\n\nNo c0v1d v@cc1n3 in china.\n\nChina soldiers in Canada. \n\nThe joke is on us. https://t.co/7MnsQnd\xe2\x80\xa6',True,11,1340885539336011776
29287324,39308549,False,193990,4738,4822,0,b'RT @DailyCaller: Brett Giroir: Trump Taking Vaccine Would \xe2\x80\x98Generate More Confidence\xe2\x80\x99\nhttps://t.co/m7tenmv1yp',True,16,1340885527189446656
174323991,18332190,False,114,18,33,0,b'RT @British_Airways: Due to changing global travel restrictions we are operating a reduced and dynamic schedule. Please see https://t.co/Lk\xe2\x80\xa6',True,149,1340885511854981120
3951457937,65159946,False,271009,2239,3250,0,"b'RT @JohnBasham: VIDEO: OUTSTANDING Speech &amp; Presentation on #COVID19 &amp; the Rise of Medical Technocracy by Dr. Lee Merritt, M.D. at the Doct\xe2\x80\xa6'",True,10,1340885519643926530
976922188925341698,812807713,False,41173,5914,2943,0,"b'RT @PhumlaneMkhize1: @alfred_cabonena I\xe2\x80\x99m disappointed with @tito_mboweni the man is useless, he failed dismally to stop covid19 relief fun\xe2\x80\xa6'",True,9,1340885542574153728
376317678,1138076821533155328,False,50526,662,1379,0,"b'RT @JamaalBowmanNY: BREAKING: Man with an estimated net worth of $34,137,534 thinks $600 is enough.'",True,9188,1340885511087505408
211561223,767942137417572352,False,351325,281,1402,0,"b""RT @GodzillaMendoza: Please help my dad keep his home. \n\nHe was laid off from his job this year due to the pandemic and I've seen him heart\xe2\x80\xa6""",True,2702,1340885520331759616
1289622860143656964,16012783,False,140299,1045,1734,0,"b'RT @thedailybeast: New York Gov. Andrew Cuomo is demanding that the federal government ban or require testing of travelers from Britain, wh\xe2\x80\xa6'",True,308,1340885537821917184
604431737,-1,False,629,375,682,0,b'U.S. congressional leaders reached agreement on Sunday on a $900 billion package to provide the first new aid in mo\xe2\x80\xa6 https://t.co/PV81ODvivu',False,0,1340885532591702017
1321822487408074753,535643852,False,157550,467,846,0,b'RT @JordanSchachtel: What a scam. Open up America. You people are beyond useless.',True,417,1340885513268412419
1110268383206014977,-1,False,1640,16,92,0,"b'I did put my foot in there... Must have hurt but I had to safe them from themselves. MC Rossouw, Delft CT https://t.co/Mkj1TTUqQP'",False,0,1340885520990285824
564528868,1017648744299356160,False,22354,28,205,0,"b'RT @PushpaSreevani: One of the very few Chief Ministers who has been working assiduously for the welfare of the people, even during these d\xe2\x80\xa6'",True,588,1340885522357469186
1138881210455875584,-1,False,356,346,818,0,"b""Hr doesn't need it..\nHe's already had it n taken the message for it..\nI wouldn't trust any of those bastards to sho\xe2\x80\xa6 https://t.co/q78S7ZAWx9""",False,0,1340885526325452801
20455872,-1,False,281159,3858,3727,1,"b""She's not in a high risk group so why is a healthy young person cutting in line? https://t.co/BAGdZtn2jf""",False,0,1340885522416283650
3426915314,358545917,False,14346,38,81,0,"b'RT @Cernovich: $900,000,000,000 (size of coronavirus stimulus)\n\ndivided by \n\n330,000,000 (\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 population) \n\nequals \n\n$2,700 per person. That\xe2\x80\xa6'",True,3627,1340885511666188289
468773453,-1,False,464,812,3695,0,"b""Top story: @SF_emergency: 'New smart phone tools let you know when you\xe2\x80\x99ve been exposed to #COVID19 and how to isola\xe2\x80\xa6 https://t.co/snYscGet5Y""",False,0,1340885536949547009
541848155,-1,False,4651,579,4988,0,"b'FINALLY, The #Democrats convinced you to believe the #American people were worthy of help from their government, li\xe2\x80\xa6 https://t.co/FbyCYHQaPj'",False,0,1340885538924941312
2305563439,812135885328236551,False,241375,319,371,0,b'RT @RealSaavedra: Healthy 31-year-old who has access to top the best medical care on the planet puts vaccinating herself ahead of health ca\xe2\x80\xa6',True,6968,1340885513566363648
1259366573825032193,455024343,False,16,46,11,0,b'RT @Surgeon_General: This has truly been a historic week! The #COVID19 vaccine is being delivered across the country to save lives and brin\xe2\x80\xa6',True,233,1340885536559431680
1031585441315803137,-1,True,175,23675,233,5,"b'As normal life resumes in Wuhan, China, many are still grieving losses from the coronavirus https://t.co/yYDuXaYyaE'",False,3,1340885547838025728
231202853,824148472534302724,False,17786,503,1091,0,b'RT @thedtrblog: I am unsure if John MacArthur got the memo that we are spreading holiday cheer and not Covid-19 this year. Please pass along',True,2,1340885569149255680
1214926309039710211,-1,False,457,23,474,1,"b'@IanWalford @sp7861 @berniespofforth No, 70000 people have died within 28 days of a positive Covid19 test. How do y\xe2\x80\xa6 https://t.co/1guQtKFj1t'",False,0,1340885559619821568
748964149,450525696,False,18322,1375,3146,0,b'RT @rob_kelsall: Really important that @educationgovuk @GavinWilliamson take note \xf0\x9f\x91\x87',True,14,1340885570776657921
140183048,-1,False,8655,1321,1275,16,"b'4 months ago we would have been losing our minds over this but now it seems like we are all just, ""oh a new strain?\xe2\x80\xa6 https://t.co/IQvSv2Whnr'",False,0,1340885571908997120
